event_id,home,away,stadium,City,State,lat,lon,event_date,event_dt_utc,tz_name,event_dt_local,local_date,local_time
401751778,Santa Barbara,Campbell,,,,,,2025-02-15T23:05Z,2025-02-15 23:05:00+00:00,,,,
401750782,San Diego,TCU,Fowler Park and Cunningham Field,San Diego,CA,32.7174202,-117.162772,2025-02-16T01:00Z,2025-02-16 01:00:00+00:00,America/Los_Angeles,2025-02-15 17:00:00-08:00,2025-02-15,17:00
401751781,Troy,Bellarmine,Riddle–Pace Field,Troy,AL,31.7982876,-85.9530944,2025-02-15T18:00Z,2025-02-15 18:00:00+00:00,America/Chicago,2025-02-15 12:00:00-06:00,2025-02-15,12:00
401750992,Monmouth,Michigan St,Monmouth Baseball Field,West Long Branch,NJ,40.2904235,-74.0172558,2025-02-15T14:30Z,2025-02-15 14:30:00+00:00,America/New_York,2025-02-15 09:30:00-05:00,2025-02-15,09:30
401751173,Washington,Saint Joseph's,Husky Ballpark,Seattle,WA,47.654838,-122.2985888,2025-02-15T16:00Z,2025-02-15 16:00:00+00:00,America/Los_Angeles,2025-02-15 08:00:00-08:00,2025-02-15,08:00
401750950,Ball State,Maryland,Ball Diamond,Muncie,IN,38.2226889,-85.9852969,2025-02-15T16:00Z,2025-02-15 16:00:00+00:00,America/Kentucky/Louisville,2025-02-15 11:00:00-05:00,2025-02-15,11:00
401751089,Penn State,Stetson,Medlar Field at Lubrano Park,University Park,PA,40.8123475,-77.8520788,2025-02-15T17:00Z,2025-02-15 17:00:00+00:00,America/New_York,2025-02-15 12:00:00-05:00,2025-02-15,12:00
401750993,Michigan St,Monmouth,,,,,,2025-02-15T17:00Z,2025-02-15 17:00:00+00:00,,,,
401751112,Kennesaw St,Rutgers,,,,,,2025-02-15T18:00Z,2025-02-15 18:00:00+00:00,,,,
401750971,Michigan,Rice,Ray Fisher Stadium,Ann Arbor,MI,42.2674643,-83.7424673,2025-02-15T18:00Z,2025-02-15 18:00:00+00:00,America/Detroit,2025-02-15 13:00:00-05:00,2025-02-15,13:00
401750866,Jacksonville,West Virginia,John Sessions Stadium,Jacksonville,FL,30.3514967,-81.607633,2025-02-15T18:00Z,2025-02-15 18:00:00+00:00,America/New_York,2025-02-15 13:00:00-05:00,2025-02-15,13:00
401750470,Pitt,E Michigan,,,,,,2025-02-15T18:00Z,2025-02-15 18:00:00+00:00,,,,
401750931,South Florida,Iowa,USF Baseball Stadium,Tampa,FL,27.9449854,-82.4583107,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/New_York,2025-02-15 14:00:00-05:00,2025-02-15,14:00
401750891,Illinois,Abilene Chrstn,Illinois Field,Champaign,IL,40.096983,-88.2295939,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/Chicago,2025-02-15 13:00:00-06:00,2025-02-15,13:00
401750654,Baylor,Youngstown St,Baylor Ballpark,Waco,TX,31.5512504,-97.1077111,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/Chicago,2025-02-15 13:00:00-06:00,2025-02-15,13:00
401750448,North Florida,Notre Dame,Harmon Stadium,Jacksonville,FL,30.2751032,-81.508397,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/New_York,2025-02-15 14:00:00-05:00,2025-02-15,14:00
401750336,Georgia Tech,Old Dominion,Russ Chandler Stadium,Atlanta,GA,33.7776564,-84.3946352,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/New_York,2025-02-15 14:00:00-05:00,2025-02-15,14:00
401748578,South Carolina,Sacred Heart,Founders Park,Columbia,SC,33.9866662,-81.0427024,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/New_York,2025-02-15 14:00:00-05:00,2025-02-15,14:00
401746129,Alabama,Bradley,Sewell–Thomas Stadium,Tuscaloosa,AL,33.204971,-87.5385738,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/Chicago,2025-02-15 13:00:00-06:00,2025-02-15,13:00
401750742,Coastal,Kansas St,,,,,,2025-02-15T19:30Z,2025-02-15 19:30:00+00:00,,,,
401750606,Arizona St,Ohio State,,,,,,2025-02-15T20:00Z,2025-02-15 20:00:00+00:00,,,,
401748524,Oklahoma,Lehigh,L. Dale Mitchell Baseball Park,Norman,OK,35.2225717,-97.4394816,2025-02-15T20:00Z,2025-02-15 20:00:00+00:00,America/Chicago,2025-02-15 14:00:00-06:00,2025-02-15,14:00
401750845,Pepperdine,Utah,Eddy D. Field Stadium,Malibu[x],CA,34.035591,-118.689423,2025-02-15T21:00Z,2025-02-15 21:00:00+00:00,America/Los_Angeles,2025-02-15 13:00:00-08:00,2025-02-15,13:00
401750867,Jacksonville,West Virginia,John Sessions Stadium,Jacksonville,FL,30.3514967,-81.607633,2025-02-15T21:30Z,2025-02-15 21:30:00+00:00,America/New_York,2025-02-15 16:30:00-05:00,2025-02-15,16:30
401751154,USC,G Washington,Dedeaux Field,Los Angeles,CA,34.0238519,-118.2899793,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,America/Los_Angeles,2025-02-15 14:00:00-08:00,2025-02-15,14:00
401751136,UCLA,Cal Poly,Jackie Robinson Stadium,Los Angeles,CA,34.0592515,-118.4592399,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,America/Los_Angeles,2025-02-15 14:00:00-08:00,2025-02-15,14:00
401750495,Fullerton,Stanford,,,,,,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,,,,
401750241,California,Nevada,Evans Diamond,Berkeley,CA,37.8694842,-122.2634129,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,America/Los_Angeles,2025-02-15 14:00:00-08:00,2025-02-15,14:00
401748490,Missouri,UConn,Taylor Stadium,Columbia,MO,38.9354971,-92.3388812,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,America/Chicago,2025-02-15 16:00:00-06:00,2025-02-15,16:00
401750631,Fresno St,BYU,,,,,,2025-02-15T22:05Z,2025-02-15 22:05:00+00:00,,,,
401750951,Maryland,Mercyhurst,Shipley Field,College Park,MD,38.9892976,-76.9444091,2025-02-15T23:00Z,2025-02-15 23:00:00+00:00,America/New_York,2025-02-15 18:00:00-05:00,2025-02-15,18:00
401750719,Texas A&M-CC,Kansas,,,,,,2025-02-15T23:00Z,2025-02-15 23:00:00+00:00,,,,
401750655,Baylor,Youngstown St,Baylor Ballpark,Waco,TX,31.5512504,-97.1077111,2025-02-15T23:00Z,2025-02-15 23:00:00+00:00,America/Chicago,2025-02-15 17:00:00-06:00,2025-02-15,17:00
401750380,Miami,Niagara,,,,,,2025-02-15T23:00Z,2025-02-15 23:00:00+00:00,,,,
401750449,North Florida,Notre Dame,Harmon Stadium,Jacksonville,FL,30.2751032,-81.508397,2025-02-15T23:20Z,2025-02-15 23:20:00+00:00,America/New_York,2025-02-15 18:20:00-05:00,2025-02-15,18:20
401750822,UCF,Siena,John Euliano Park,Orlando[g],FL,28.5421218,-81.379045,2025-02-15T23:30Z,2025-02-15 23:30:00+00:00,America/New_York,2025-02-15 18:30:00-05:00,2025-02-15,18:30
401751046,Long Beach St,Northwestern,,,,,,2025-02-16T00:00Z,2025-02-16 00:00:00+00:00,,,,
401750910,Indiana,Xavier,Bart Kaufman Field,Bloomington,IN,39.1849669,-86.5222464,2025-02-16T00:00Z,2025-02-16 00:00:00+00:00,America/Indiana/Indianapolis,2025-02-15 19:00:00-05:00,2025-02-15,19:00
401746200,Auburn,Holy Cross,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,32.6098566,-85.4807825,2025-02-16T00:00Z,2025-02-16 00:00:00+00:00,America/Chicago,2025-02-15 18:00:00-06:00,2025-02-15,18:00
401750698,Houston,Minnesota,Schroeder Park,Houston,TX,29.7269568,-95.3453599,2025-02-16T00:30Z,2025-02-16 00:30:00+00:00,America/Chicago,2025-02-15 18:30:00-06:00,2025-02-15,18:30
401751884,Purdue,SF Austin,Alexander Field,West Lafayette,IN,40.437702,-86.9411864,2025-02-16T01:00Z,2025-02-16 01:00:00+00:00,America/Indiana/Indianapolis,2025-02-15 20:00:00-05:00,2025-02-15,20:00
401759957,Fullerton,Stanford,,,,,,2025-02-16T01:30Z,2025-02-16 01:30:00+00:00,,,,
401750632,Fresno St,BYU,,,,,,2025-02-16T01:30Z,2025-02-16 01:30:00+00:00,,,,
401750216,SC Upstate,Boston College,,,,,,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,,,,
401750026,Texas A&M,Elon,Olsen Field at Blue Bell Park,College Station,TX,30.6183939,-96.3455991,2025-02-16T19:00Z,2025-02-16 19:00:00+00:00,America/Chicago,2025-02-16 13:00:00-06:00,2025-02-16,13:00
401750516,Virginia,Rice,Davenport Field at Disharoon Park,Charlottesville,VA,38.0457967,-78.5135345,2025-02-16T21:00Z,2025-02-16 21:00:00+00:00,America/New_York,2025-02-16 16:00:00-05:00,2025-02-16,16:00
401750051,LSU,Purdue FW,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,30.4494155,-91.1869659,2025-02-16T19:00Z,2025-02-16 19:00:00+00:00,America/Chicago,2025-02-16 13:00:00-06:00,2025-02-16,13:00
401749977,Tennessee,Hofstra,Lindsey Nelson Stadium,Knoxville,TN,35.9490901,-83.9294748,2025-02-16T16:00Z,2025-02-16 16:00:00+00:00,America/New_York,2025-02-16 11:00:00-05:00,2025-02-16,11:00
401750911,Oregon St,Indiana,,,,,,2025-02-16T19:00Z,2025-02-16 19:00:00+00:00,,,,
