espn_id,displayName,shortDisplayName,name,abbreviation,location,slug,color,logo_default,logo_dark
426,Saint Mary's Gaels,Saint Mary's,Gaels,SMC,Saint Mary's,saint-marys-gaels,000063,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2608.png
1067,Saint Paul Golden Bears,Cncrdia MN,Golden Bears,CON,Saint Paul,saint-paul-golden-bears,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/3066.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/3066.png
437,Saint Peter's Peacocks,Saint Peter's,Peacocks,SPU,Saint Peter's,saint-peters-peacocks,001555,https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2612.png
841,Salisbury Sea Gulls,SALISBURY,Sea Gulls,SSU,Salisbury,salisbury-sea-gulls,,https://a.espncdn.com/i/teamlogos/ncaa/500/2532.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2532.png
190,Sam Houston Bearkats,Sam Houston,Bearkats,SHSU,Sam Houston,sam-houston-bearkats,FF7800,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2534.png
274,Samford Bulldogs,Samford,Bulldogs,SAM,Samford,samford-bulldogs,005485,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2535.png
62,San Diego State Aztecs,San Diego St,Aztecs,SDSU,San Diego State,san-diego-state-aztecs,D60039,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png
143,San Diego Toreros,San Diego,Toreros,USD,San Diego,san-diego-toreros,0D1361,https://a.espncdn.com/i/teamlogos/ncaa/500/301.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/301.png
267,San Francisco Dons,San Francisco,Dons,SF,San Francisco,san-francisco-dons,083123,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2539.png
63,San José State Spartans,San José St,Spartans,SJSU,San José State,san-jose-state-spartans,005A94,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png
427,Santa Clara Broncos,Santa Clara,Broncos,SCU,Santa Clara,santa-clara-broncos,690b0b,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2541.png
286,Savannah State Tigers,Savannah St,Tigers,SAV,Savannah State,savannah-state-tigers,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2542.png
428,Seattle U Redhawks,Seattle U,Redhawks,SEA,Seattle U,seattle-u-redhawks,bd2d1a,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2547.png
268,Seton Hall Pirates,Seton Hall,Pirates,HALL,Seton Hall,seton-hall-pirates,3142AD,https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2550.png
311,Siena Saints,Siena,Saints,SIE,Siena,siena-saints,,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2561.png
57,South Alabama Jaguars,South Alabama,Jaguars,USA,South Alabama,south-alabama-jaguars,004A7B,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png
193,South Carolina Gamecocks,South Carolina,Gamecocks,SC,South Carolina,south-carolina-gamecocks,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png
430,South Carolina State Bulldogs,SC State,Bulldogs,SCST,South Carolina State,south-carolina-state-bulldogs,7d1315,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2569.png
453,South Carolina Upstate Spartans,SC Upstate,Spartans,UPST,South Carolina Upstate,south-carolina-upstate-spartans,006e3a,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2908.png
