event_id,event_date,status,home,away,venue,location
401750498,2025-02-21T22:05Z,Final,Stanford,Washington,Klein Field at Sunken Diamond,"Stanford, California"
401750824,2025-02-21T23:00Z,Final,UCF,Bryant,John Euliano Park,"Orlando, Florida"
401746133,2025-02-21T23:00Z,Final,Coastal,Alabama,VyStar Ballpark,"Jacksonville, Florida"
401750383,2025-02-22T00:00Z,Final,Miami,Princeton,Alex Rodriguez Park at Mark Light Field,"Coral Gables, Florida"
401751158,2025-02-22T00:30Z,Final,Rice,USC,Reckling Park,"Houston, Texas"
401750636,2025-02-22T00:30Z,Final,CSU Northridge,BYU,Matador Field,"Northridge, California"
401750218,2025-02-22T00:30Z,Final,New Orleans,Boston College,Maestri Field,"New Orleans, Louisiana"
401751113,2025-02-22T01:00Z,Final,Grand Canyon,Rutgers,Brazell Field at GCU Ballpark,"Phoenix, Arizona"
401750588,2025-02-22T01:00Z,Final,Arizona,San Diego,Hi Corbett Field,"Tucson, Arizona"
401748493,2025-02-22T01:00Z,Final,Florida A&M,Missouri,Jackie Robinson Training Complex,"Vero Beach, Florida"
401750609,2025-02-22T01:30Z,Final,Arizona St,Oral Roberts,Phoenix Municipal Stadium,"Phoenix, Arizona"
401750848,2025-02-22T02:00Z,Final,San Diego St,Utah,Tony Gwynn Stadium,"San Diego, California"
401750244,2025-02-22T02:00Z,Final,California,Houston,Stu Gordon Stadium,"Berkeley, California"
401751091,2025-02-21T20:00Z,Canceled,Longwood,Penn State,Buddy Bolding Stadium,"Farmville, Virginia"
401750029,2025-02-22T18:00Z,Final,Texas A&M,Cal Poly,Olsen Field at Blue Bell Park,"College Station, Texas"
401750519,2025-02-22T18:30Z,Final,Virginia,Minnesota,Dell Diamond,"Round Rock, Texas"
401750055,2025-02-22T18:00Z,Final,LSU,Omaha,"Alex Box Stadium, Skip Bertman Field","Baton Rouge, Louisiana"
401750056,2025-02-22T23:00Z,Final,LSU,Omaha,"Alex Box Stadium, Skip Bertman Field","Baton Rouge, Louisiana"
401749980,2025-02-22T19:00Z,Final,Tennessee,Samford,Lindsey Nelson Stadium,"Knoxville, Tennessee"
401746178,2025-02-23T00:00Z,Final,TCU,Arkansas,Globe Life Field,"Arlington, Texas"
401750430,2025-02-22T17:30Z,Final,East Carolina,North Carolina,Durham Bulls Athletic Park,"Durham, North Carolina"
401748528,2025-02-22T22:30Z,Final,Oregon St,Oklahoma,Dell Diamond,"Round Rock, Texas"
401748402,2025-02-22T19:00Z,Final,Georgia,UIC,Foley Field,"Athens, Georgia"
401750316,2025-02-22T19:00Z,Final,Florida St,Penn,Mike Martin Field at Dick Howser Stadium,"Tallahassee, Florida"
401748355,2025-02-22T21:00Z,Final,Florida,Dayton,Condron Family Ballpark,"Gainesville, Florida"
401751068,2025-02-22T19:05Z,Final,Oregon,Rhode Island,PK Park,"Eugene, Oregon"
401751069,2025-02-22T22:30Z,Final,Oregon,Rhode Island,PK Park,"Eugene, Oregon"
401746134,2025-02-22T21:45Z,Final,Alabama,NC State,VyStar Ballpark,"Jacksonville, Florida"
401750567,2025-02-22T21:00Z,Final,Wake Forest,St John's,David F. Couch Ballpark,"Winston-Salem, North Carolina"
401750267,2025-02-22T17:00Z,Final,Clemson,NC A&T,Doug Kingsmore Stadium,"Clemson, South Carolina"
401750268,2025-02-22T21:30Z,Final,Clemson,VCU,Doug Kingsmore Stadium,"Clemson, South Carolina"
401750101,2025-02-22T19:00Z,Final,Vanderbilt,Saint Mary's,Hawkins Field,"Nashville, Tennessee"
401750005,2025-02-22T19:00Z,Final,Texas,Dartmouth,UFCU Disch-Falk Field,"Austin, Texas"
401750290,2025-02-22T20:00Z,Final,Duke,Cornell,Jack Coombs Field,"Durham, North Carolina"
401748448,2025-02-22T20:00Z,Final,Mississippi St,Missouri St,Dudy Noble Field,"Starkville, Mississippi"
401753482,2025-02-22T19:05Z,Final,Dallas Baptist,SIUE,Horner Ballpark,"Dallas, Texas"
401753512,2025-02-22T22:05Z,Final,Dallas Baptist,SIUE,Horner Ballpark,"Dallas, Texas"
401760097,2025-02-23T02:00Z,Final,San Diego St,Santa Barbara,Tony Gwynn Stadium,"San Diego, California"
401751030,2025-02-22T19:00Z,Final,Louisiana,Nebraska,"M.L. ""Tigue"" Moore Field at Russo Park","Lafayette, Louisiana"
401751031,2025-02-22T22:30Z,Final,Louisiana,Nebraska,"M.L. ""Tigue"" Moore Field at Russo Park","Lafayette, Louisiana"
401760099,2025-02-22T18:00Z,Final,Troy,N'Western St,Riddle-Pace Field,"Troy, Alabama"
401750678,2025-02-23T02:05Z,Final,UNLV,Cincinnati,Earl E. Wilson Stadium,"Paradise Valley, Nevada"
401750473,2025-02-22T15:00Z,Final,Pitt,Monmouth,USA Baseball Training Complex,"Cary, North Carolina"
401751817,2025-02-22T17:00Z,Final,Ohio State,Coastal,VyStar Ballpark,"Jacksonville, Florida"
401751092,2025-02-22T17:00Z,Final,Longwood,Penn State,Gray–Minor Stadium,"Lexington, Virginia"
401750451,2025-02-22T17:00Z,Final,Notre Dame,UMBC,Frank Eck Baseball Stadium,"Notre Dame, Indiana"
401751887,2025-02-22T18:00Z,Final,Purdue,Niagara,Ting Stadium,"Holly Springs, North Carolina"
401750722,2025-02-22T18:00Z,Final,Tarleton St,Kansas,Tarleton Baseball Complex,"Stephenville, Texas"
401750360,2025-02-22T18:00Z,Final,Louisville,W Michigan,Jim Patterson Stadium,"Louisville, Kentucky"
401750219,2025-02-22T18:00Z,Final,New Orleans,Boston College,Maestri Field,"New Orleans, Louisiana"
401746205,2025-02-22T18:00Z,Final,Auburn,Wright St,Plainsman Park,"Auburn, Alabama"
401751048,2025-02-22T18:30Z,Final,Harvard,Northwestern,USA Baseball Training Complex,"Cary, North Carolina"
401750954,2025-02-22T19:00Z,Final,W Carolina,Maryland,Ronnie G. Childress at Hennon Stadium,"Cullowhee, North Carolina"
